epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5813,1.57751,3.12689,0.00407,0.47824,0.50878,0.41186,0.25578,1.32431,2.70739,0.00404,0.000661247,0.000661247,0.000661247
2,71.4329,1.70807,2.07865,0.00389,0.50424,0.56652,0.487,0.2946,1.40447,2.17761,0.00448,0.00131477,0.00131477,0.00131477
3,102.247,1.63447,1.84387,0.00416,0.55126,0.60086,0.54046,0.33181,1.42835,1.9484,0.00453,0.00195509,0.00195509,0.00195509
4,131.878,1.68374,1.6032,0.00398,0.56164,0.63233,0.57849,0.35846,1.44704,1.83695,0.00453,0.0019406,0.0019406,0.0019406
5,162.606,1.65636,1.44989,0.0039,0.5898,0.67954,0.6206,0.41586,1.33155,1.56822,0.0041,0.0019208,0.0019208,0.0019208
6,194.13,1.63299,1.3263,0.00379,0.57498,0.69242,0.63453,0.42171,1.33441,1.45484,0.00409,0.001901,0.001901,0.001901
7,224.978,1.57624,1.25049,0.0037,0.61401,0.6824,0.63688,0.41801,1.3175,1.45178,0.00402,0.0018812,0.0018812,0.0018812
8,256.318,1.64481,1.19273,0.0039,0.62449,0.71674,0.66367,0.43139,1.33534,1.26518,0.00411,0.0018614,0.0018614,0.0018614
9,287.505,1.57991,1.0835,0.00361,0.6422,0.70386,0.67407,0.43057,1.37547,1.24237,0.00428,0.0018416,0.0018416,0.0018416
10,318.757,1.5811,1.04442,0.00358,0.62886,0.69385,0.67042,0.44108,1.32775,1.21792,0.00404,0.0018218,0.0018218,0.0018218
11,351.126,1.59237,0.99608,0.00372,0.61552,0.73534,0.64181,0.40512,1.4113,1.29136,0.00461,0.001802,0.001802,0.001802
12,383.795,1.56635,0.98997,0.00377,0.66832,0.70959,0.69823,0.45415,1.35833,1.15806,0.00415,0.0017822,0.0017822,0.0017822
13,415.355,1.52996,0.94394,0.0037,0.64669,0.72389,0.68655,0.44689,1.39009,1.11059,0.00423,0.0017624,0.0017624,0.0017624
14,448.164,1.57264,0.91621,0.00368,0.66835,0.72675,0.70025,0.46649,1.32985,1.07766,0.00407,0.0017426,0.0017426,0.0017426
15,480.082,1.6506,0.96395,0.00374,0.66984,0.71102,0.71735,0.46704,1.36498,1.11047,0.00428,0.0017228,0.0017228,0.0017228
16,513.149,1.63498,0.91778,0.00344,0.67627,0.73677,0.69344,0.44772,1.33924,1.03757,0.00406,0.001703,0.001703,0.001703
17,546.087,1.55216,0.87861,0.00357,0.69457,0.72532,0.72158,0.46238,1.37652,1.0049,0.00427,0.0016832,0.0016832,0.0016832
18,577.797,1.57573,0.87793,0.00366,0.66047,0.70964,0.66563,0.42408,1.36352,1.18028,0.0043,0.0016634,0.0016634,0.0016634
19,640.487,1.59031,0.90928,0.00362,0.66997,0.72532,0.70478,0.45876,1.34443,1.03177,0.00405,0.0016436,0.0016436,0.0016436
20,700.726,1.54848,0.84687,0.00355,0.65878,0.72818,0.70557,0.46834,1.34847,1.04126,0.00403,0.0016238,0.0016238,0.0016238
